england-premier-league-players-2018-to-2019-stats
full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,yellow_cards_overall,red_cards_overall
Ken Sema,27,1993/09/30,Premier League,2018/2019,Midfielder,Watford,755,301,454,Sweden,17,8,9,1,0,1,2,1,1,0,0,6,4,2,1,0
Kenneth Dahrup Zohorè,27,1994/01/31,Premier League,2018/2019,Forward,Cardiff City,746,388,358,Denmark,19,11,8,1,0,1,1,0,1,0,0,5,2,3,1,0
Kepa Arrizabalaga,26,1994/10/03,Premier League,2018/2019,Goalkeeper,Chelsea,3240,1620,1620,Spain,36,18,18,0,0,0,0,0,0,0,0,14,9,5,2,0
Kevin De Bruyne,29,1991/06/28,Premier League,2018/2019,Midfielder,Manchester City,974,477,497,Belgium,19,9,10,2,2,0,2,0,2,0,0,12,6,6,2,0
Kevin Long,30,1990/08/18,Premier League,2018/2019,Defender,Burnley,513,90,423,Republic of Ireland,6,1,5,0,0,0,1,0,1,0,0,1,0,1,0,0
Kevin McDonald,32,1988/11/04,Premier League,2018/2019,Midfielder,Fulham,842,399,443,Scotland,15,8,7,0,0,0,0,0,0,0,0,0,0,0,6,1
Kieran Dowell,23,1997/10/10,Premier League,2018/2019,Midfielder,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,30,1990/09/19,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,England,27,14,13,1,1,0,3,0,3,0,0,10,5,5,2,0
Konstantinos Mavropanos,23,1997/12/11,Premier League,2018/2019,Defender,Arsenal,150,46,104,Greece,4,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0
Kortney Hause,25,1995/07/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Zouma,26,1994/10/27,Premier League,2018/2019,Defender,Everton,2610,1350,1260,France,32,16,16,2,1,1,2,0,2,0,0,11,8,3,5,1
Kyle Taylor,21,1999/08/28,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,30,1990/05/28,Premier League,2018/2019,Defender,Manchester City,2777,1245,1532,England,33,15,18,1,1,0,1,0,1,0,0,18,7,11,3,0
Kyle Walker-Peters,23,1997/04/13,Premier League,2018/2019,Defender,Tottenham Hotspur,374,272,102,England,6,4,2,0,0,0,3,3,0,0,0,3,2,1,1,0
Laurent Depoitre,32,1988/12/07,Premier League,2018/2019,Forward,Huddersfield Town,1059,446,613,Belgium,23,12,11,0,0,0,1,0,1,0,0,3,2,1,1,0
Laurent Koscielny,35,1985/09/10,Premier League,2018/2019,Defender,Arsenal,1328,484,844,France,17,6,11,3,2,1,0,0,0,0,0,4,3,1,1,0
Lazar Marković,27,1994/03/02,Premier League,2018/2019,Midfielder,Fulham,44,0,44,Serbia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leander Dendoncker,25,1995/04/15,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1469,635,834,Belgium,19,9,10,2,1,1,0,0,0,0,0,4,4,0,1,0
Leandro Bacuna,29,1991/08/21,Premier League,2018/2019,Midfielder,Cardiff City,554,302,252,Curaçao,11,6,5,0,0,0,0,0,0,0,0,4,2,2,2,0
Lee Grant,38,1983/01/27,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,34,1986/12/11,Premier League,2018/2019,Defender,Cardiff City,1542,521,1021,England,20,7,13,0,0,0,0,0,0,0,0,6,2,4,4,0
Leighton Baines,36,1984/12/11,Premier League,2018/2019,Defender,Everton,376,141,235,England,6,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0
Leon Balogun,32,1988/06/28,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,309,282,Nigeria,8,4,4,1,1,0,0,0,0,0,0,0,0,0,2,0
Leonardo Bonatini Lohner Maia,27,1994/03/28,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,61,67,Brazil,7,4,3,0,0,0,1,0,1,0,0,3,2,1,0,0
Leroy Sané,25,1996/01/11,Premier League,2018/2019,Midfielder,Manchester City,1867,1024,843,Germany,31,16,15,10,5,5,10,6,4,0,0,16,8,8,1,0
Lewis Cass,21,2000/02/27,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Cook,24,1997/02/03,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,381,340,England,13,7,6,0,0,0,0,0,0,0,0,3,1,2,2,0
Lewis Dunk,29,1991/11/21,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,1550,1603,England,36,18,18,2,0,2,1,0,1,0,0,7,5,2,7,1
Loïc Damour,30,1991/01/08,Premier League,2018/2019,Midfielder,Cardiff City,21,4,17,France,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,27,1993/06/22,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca de la Torre,22,1998/05/23,Premier League,2018/2019,Midfielder,Fulham,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,27,1993/07/20,Premier League,2018/2019,Defender,Everton,2990,1511,1479,France,35,17,18,4,2,2,4,2,2,0,0,14,9,5,6,1
Lucas Perez,32,1988/09/10,Premier League,2018/2019,Forward,West Ham United,468,287,181,Spain,15,10,5,3,3,0,0,0,0,0,0,3,2,1,0,0
Lucas Rodrigues Moura da Silva,28,1992/08/13,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,Brazil,32,15,17,10,6,4,0,0,0,0,0,12,7,5,3,0
Lucas Torreira,25,1996/02/11,Premier League,2018/2019,Midfielder,Arsenal,2377,1231,1146,Uruguay,34,17,17,2,2,0,2,0,2,0,0,6,5,1,8,1
Luciano Vietto,27,1993/12/05,Premier League,2018/2019,Forward,Fulham,983,549,434,Argentina,20,9,11,1,1,0,4,4,0,0,0,1,1,0,1,0
Luka Milivojević,29,1991/04/07,Premier League,2018/2019,Midfielder,Crystal Palace,3420,1710,1710,Serbia,38,19,19,12,7,5,2,0,2,10,1,12,7,5,10,0
Luke Amos,24,1997/02/23,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2,0,2,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Dreher,22,1998/11/27,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Shaw,25,1995/07/12,Premier League,2018/2019,Defender,Manchester United,2592,1170,1422,England,29,13,16,1,1,0,4,2,2,0,0,6,1,5,11,0
Lys Mousset,25,1996/02/08,Premier League,2018/2019,Forward,AFC Bournemouth,345,96,249,France,24,13,11,1,0,1,0,0,0,0,0,5,4,1,1,0
Maarten Stekelenburg,38,1982/09/22,Premier League,2018/2019,Goalkeeper,Everton,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou Sakho,31,1990/02/13,Premier League,2018/2019,Defender,Crystal Palace,2417,1170,1247,France,27,13,14,0,0,0,0,0,0,0,0,9,5,4,2,0
Manolo Gabbiadini,29,1991/11/26,Premier League,2018/2019,Forward,Southampton,470,253,217,Italy,12,6,6,1,1,0,0,0,0,0,0,3,2,1,0,0
Manuel Lanzini,28,1993/02/15,Premier League,2018/2019,Midfielder,West Ham United,688,367,321,Argentina,10,5,5,1,0,1,1,0,1,0,0,2,2,0,2,0
Marc Albrighton,31,1989/11/18,Premier League,2018/2019,Midfielder,Leicester City,1626,797,829,England,27,14,13,2,1,1,2,1,1,0,0,9,5,4,3,0
Marc Guehi,20,2000/07/13,Premier League,2018/2019,Defender,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Navarro Ceciliano,25,1995/07/02,Premier League,2018/2019,Defender,Watford,84,0,84,Spain,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Pugh,34,1987/04/02,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Alonso,30,1990/12/28,Premier League,2018/2019,Defender,Chelsea,2761,1338,1423,Spain,31,15,16,2,1,1,4,3,1,0,0,14,8,6,6,0
Marcus Bettinelli,28,1992/05/24,Premier League,2018/2019,Goalkeeper,Fulham,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Marcus Rashford,23,1997/10/31,Premier League,2018/2019,Forward,Manchester United,2362,1293,1069,England,33,17,16,10,4,6,6,3,3,0,0,6,2,4,4,1
Mario Lemina,27,1993/09/01,Premier League,2018/2019,Midfielder,Southampton,1615,763,852,Gabon,21,9,12,1,0,1,1,0,1,0,0,4,2,2,5,0
Mark Noble,33,1987/05/08,Premier League,2018/2019,Midfielder,West Ham United,2308,1147,1161,England,31,15,16,5,2,3,5,4,1,4,0,7,4,3,7,1
Mark Travers,21,1999/05/18,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,90,90,Republic of Ireland,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Marko Arnautović,31,1989/04/19,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,15,13,10,7,3,4,1,3,1,0,5,3,2,3,0
Markus Suttner,33,1987/04/16,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marouane Fellaini,33,1987/11/22,Premier League,2018/2019,Midfielder,Manchester United,744,217,527,Belgium,14,6,8,0,0,0,1,0,1,0,0,2,1,1,1,0
Martin Dúbravka,32,1989/01/15,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,1710,1710,Slovakia,38,19,19,0,0,0,0,0,0,0,0,11,5,6,1,0
Martin Kelly,30,1990/04/27,Premier League,2018/2019,Defender,Crystal Palace,1110,660,450,England,13,8,5,0,0,0,0,0,0,0,0,3,2,1,2,0
Martín Montoya,29,1991/04/14,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,1176,990,Spain,25,14,11,0,0,0,1,0,1,0,0,3,3,0,4,0
Mason Greenwood,19,2001/10/01,Premier League,2018/2019,Midfielder,Manchester United,115,105,10,England,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Holgate,24,1996/10/22,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Matěj Vydra,28,1992/05/01,Premier League,2018/2019,Forward,Burnley,311,91,220,Czech Republic,13,6,7,1,1,0,1,0,1,0,0,1,1,0,1,0
Mateo Kovačić,26,1994/05/06,Premier League,2018/2019,Midfielder,Chelsea,1743,968,775,Croatia,32,17,15,0,0,0,2,1,1,0,0,12,8,4,3,0
Mathew Ryan,28,1992/04/08,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0,0,0,6,4,2,2,0
Mathias Jattah-Njie Jørgensen,30,1990/04/23,Premier League,2018/2019,Defender,Huddersfield Town,2148,1248,900,Denmark,24,14,10,3,1,2,1,0,1,0,0,3,2,1,6,0
Matt Butcher,23,1997/05/14,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,29,1992/01/16,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,19,19,4,1,3,5,4,1,0,0,9,7,2,5,0
Matt Ritchie,31,1989/09/10,Premier League,2018/2019,Midfielder,Newcastle United,2940,1557,1383,Scotland,36,19,17,2,1,1,8,2,6,1,1,11,5,6,9,0
Matt Targett,25,1995/09/18,Premier League,2018/2019,Defender,Southampton,1185,483,702,England,16,7,9,1,1,0,3,2,1,0,0,1,0,1,2,0
Matteo Darmian,31,1989/12/02,Premier League,2018/2019,Defender,Manchester United,443,353,90,Italy,6,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Mattéo Guendouzi Olié,21,1999/04/14,Premier League,2018/2019,Midfielder,Arsenal,2143,971,1172,France,33,14,19,0,0,0,0,0,0,0,0,4,3,1,9,0
Matthew Connolly,33,1987/09/24,Premier League,2018/2019,Defender,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Lowton,31,1989/06/09,Premier League,2018/2019,Defender,Burnley,1748,810,938,England,21,9,12,0,0,0,0,0,0,0,0,4,2,2,7,0
Matty Daly,20,2001/03/10,Premier League,2018/2019,Midfielder,Huddersfield Town,73,49,24,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Harrison Sanders,22,1999/01/04,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Kilman,23,1997/05/23,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Max Meyer,25,1995/09/18,Premier League,2018/2019,Midfielder,Crystal Palace,1414,718,696,Germany,29,18,11,1,0,1,2,0,2,0,0,8,7,1,3,0
Maxime Le Marchand,31,1989/10/11,Premier League,2018/2019,Defender,Fulham,2251,1171,1080,France,26,14,12,0,0,0,1,1,0,0,0,4,3,1,5,0
Maya Yoshida,32,1988/08/24,Premier League,2018/2019,Defender,Southampton,1520,800,720,Japan,17,9,8,0,0,0,1,1,0,0,0,3,1,2,0,0
Mesut Özil,32,1988/10/15,Premier League,2018/2019,Midfielder,Arsenal,1741,1139,602,Germany,24,14,10,5,4,1,2,2,0,0,0,6,5,1,2,0
Michael Keane,28,1993/01/11,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1,0,0,13,8,5,2,0
Michael Obafemi,20,2000/07/06,Premier League,2018/2019,Forward,Southampton,134,64,70,Republic of Ireland,6,2,4,1,0,1,1,1,0,0,0,0,0,0,1,0
Michail Antonio,31,1990/03/28,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,16,17,6,4,2,4,2,2,0,0,5,3,2,3,0
Michel Vorm,37,1983/10/20,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,27,1993/10/02,Premier League,2018/2019,Forward,Crystal Palace,756,368,388,Belgium,11,6,5,5,2,3,0,0,0,0,0,3,2,1,0,0
Miguel Ángel Almirón Rejala,27,1994/02/10,Premier League,2018/2019,Midfielder,Newcastle United,763,405,358,Paraguay,10,5,5,0,0,0,0,0,0,0,0,3,2,1,0,0
Miguel Ángel Britos Cabrera,35,1985/07/17,Premier League,2018/2019,Defender,Watford,185,13,172,Uruguay,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
Mohamed Diamé,33,1987/06/14,Premier League,2018/2019,Midfielder,Newcastle United,2165,960,1205,Senegal,29,13,16,0,0,0,0,0,0,0,0,9,3,6,3,0
Mohamed Elneny,28,1992/07/11,Premier League,2018/2019,Midfielder,Arsenal,381,214,167,Egypt,8,5,3,0,0,0,0,0,0,0,0,2,2,0,0,0
Mohamed Elyounoussi,26,1994/08/04,Premier League,2018/2019,Midfielder,Southampton,790,393,397,Norway,16,8,8,0,0,0,0,0,0,0,0,4,2,2,0,0
Mohamed Salah,28,1992/06/15,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,19,22,13,9,8,5,3,3,0,21,12,9,1,0
Morgan Gibbs-White,21,2000/01/27,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,England,26,13,13,0,0,0,1,1,0,0,0,5,5,0,1,0
Morgan Schneiderlin,31,1989/11/08,Premier League,2018/2019,Midfielder,Everton,833,473,360,France,14,9,5,0,0,0,1,1,0,0,0,7,5,2,2,0
Moussa Dembele,33,1987/07/16,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,161,355,Belgium,10,3,7,0,0,0,0,0,0,0,0,3,0,3,1,0
Moussa Sissoko,31,1989/08/16,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,1187,1149,France,29,15,14,0,0,0,3,2,1,0,0,11,6,5,2,0
N'Golo Kanté,30,1991/03/29,Premier League,2018/2019,Midfielder,Chelsea,3096,1579,1517,France,36,19,17,4,2,2,4,3,1,0,0,15,10,5,3,0
Naby Deco Keïta,26,1995/02/10,Premier League,2018/2019,Midfielder,Liverpool,1392,729,663,Guinea,25,14,11,2,1,1,1,1,0,0,0,15,10,5,0,0
Nacho Monreal,35,1986/02/26,Premier League,2018/2019,Defender,Arsenal,1861,781,1080,Spain,22,10,12,1,1,0,3,0,3,0,0,6,5,1,5,0
Nampalys Mendy,28,1992/06/23,Premier League,2018/2019,Midfielder,Leicester City,2088,1006,1082,France,31,16,15,0,0,0,0,0,0,0,0,9,5,4,5,0
Nathan Aké,26,1995/02/18,Premier League,2018/2019,Defender,AFC Bournemouth,3412,1710,1702,Netherlands,38,19,19,4,3,1,0,0,0,0,0,10,6,4,3,0
Nathan Holland,22,1998/06/19,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Redmond,27,1994/03/06,Premier League,2018/2019,Midfielder,Southampton,3276,1633,1643,England,38,19,19,6,4,2,4,2,2,0,0,7,3,4,3,0
Nathaniel Chalobah,26,1994/12/12,Premier League,2018/2019,Midfielder,Watford,266,67,199,England,9,3,6,0,0,0,0,0,0,0,0,1,1,0,2,0
Nathaniel Clyne,30,1991/04/05,Premier League,2018/2019,Defender,AFC Bournemouth,1254,684,570,England,18,10,8,0,0,0,1,0,1,0,0,6,4,2,2,0
Nathaniel Mendez-Laing,28,1992/04/15,Premier League,2018/2019,Midfielder,Cardiff City,984,442,542,England,20,9,11,4,0,4,1,1,0,1,0,6,3,3,0,0
Neeskens Kebano,29,1992/03/10,Premier League,2018/2019,Midfielder,Fulham,103,74,29,Congo DR,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Leonard Dula Etheridge,31,1990/02/07,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,1710,1710,Philippines,38,19,19,0,0,0,0,0,0,0,0,10,5,5,2,0
Nemanja Matić,32,1988/08/01,Premier League,2018/2019,Midfielder,Manchester United,2441,1051,1390,Serbia,28,12,16,1,1,0,0,0,0,0,0,6,1,5,8,1
Nicolas Otamendi,33,1988/02/12,Premier League,2018/2019,Defender,Manchester City,1233,682,551,Argentina,18,9,9,0,0,0,0,0,0,0,0,10,3,7,1,0
Nikola Tavares,22,1999/01/17,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nnamdi Ofoborh,21,1999/11/07,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleksandr Zinchenko,24,1996/12/15,Premier League,2018/2019,Midfielder,Manchester City,1153,613,540,Ukraine,14,8,6,0,0,0,3,2,1,0,0,10,6,4,1,0
Oliver Skipp,20,2000/09/16,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,191,25,England,8,6,2,0,0,0,0,0,0,0,0,4,3,1,0,0
Olivier Giroud,34,1986/09/30,Premier League,2018/2019,Forward,Chelsea,832,446,386,France,27,14,13,2,1,1,4,3,1,0,0,12,7,5,1,0
Onyinye Wilfred Ndidi,24,1996/12/16,Premier League,2018/2019,Midfielder,Leicester City,3299,1624,1675,Nigeria,38,19,19,2,2,0,0,0,0,0,0,10,6,4,8,0
Oriol Romeu,29,1991/09/24,Premier League,2018/2019,Midfielder,Southampton,2140,1110,1030,Spain,31,16,15,1,1,0,0,0,0,0,0,6,3,3,11,0
Oumar Niasse,30,1990/04/18,Premier League,2018/2019,Forward,Cardiff City,998,435,563,Senegal,18,8,10,0,0,0,0,0,0,0,0,3,2,1,0,0
Pablo Zabaleta,36,1985/01/16,Premier League,2018/2019,Defender,West Ham United,2092,1216,876,Argentina,26,14,12,0,0,0,1,1,0,0,0,4,2,2,4,0
Pape N'Diaye Souaré,30,1990/06/06,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Senegal,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Pascal Groß,29,1991/06/15,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,Germany,25,13,12,3,2,1,3,1,2,1,1,3,2,1,1,0
Patrick van Aanholt,30,1990/08/29,Premier League,2018/2019,Defender,Crystal Palace,3198,1703,1495,Netherlands,36,19,17,3,2,1,2,0,2,0,0,12,7,5,3,0
Paul Dummett,29,1991/09/26,Premier League,2018/2019,Defender,Newcastle United,1986,979,1007,Wales,26,13,13,0,0,0,0,0,0,0,0,9,3,6,1,0
Paul Pogba,28,1993/03/15,Premier League,2018/2019,Midfielder,Manchester United,3011,1517,1494,France,35,18,17,13,10,3,9,4,5,7,3,7,2,5,6,0
Paulo Dino Gazzaniga,29,1992/01/02,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,0,270,Argentina,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0
Pedro Obiang,29,1992/03/27,Premier League,2018/2019,Midfielder,West Ham United,1121,609,512,Equatorial Guinea,24,13,11,0,0,0,1,0,1,0,0,7,4,3,0,0
Pedro Rodriguez,33,1987/07/28,Premier League,2018/2019,Midfielder,Chelsea,1780,958,822,Spain,31,15,16,8,6,2,2,2,0,0,0,11,7,4,2,0
Peter Crouch,40,1981/01/30,Premier League,2018/2019,Forward,Burnley,86,56,30,England,6,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Petr Čech,38,1982/05/20,Premier League,2018/2019,Goalkeeper,Arsenal,585,315,270,Czech Republic,7,4,3,0,0,0,0,0,0,0,0,2,2,0,0,0
Phil Bardsley,35,1985/06/28,Premier League,2018/2019,Defender,Burnley,1672,900,772,Scotland,19,10,9,0,0,0,0,0,0,0,0,4,3,1,9,0
Phil Jagielka,38,1982/08/17,Premier League,2018/2019,Defender,Everton,329,95,234,England,7,3,4,1,1,0,0,0,0,0,0,5,3,2,1,1
Phil Jones,29,1992/02/21,Premier League,2018/2019,Defender,Manchester United,1263,652,611,England,18,9,9,0,0,0,1,0,1,0,0,4,0,4,1,0
Philip Billing,24,1996/06/11,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,1106,1086,Denmark,27,13,14,2,1,1,0,0,0,0,0,5,3,2,7,0
Philip Foden,20,2000/05/28,Premier League,2018/2019,Midfielder,Manchester City,327,279,48,England,13,10,3,1,1,0,0,0,0,0,0,8,6,2,0,0
Philippe Sandler,24,1997/02/10,Premier League,2018/2019,Defender,Manchester City,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,31,1989/06/18,Premier League,2018/2019,Forward,Arsenal,2731,1418,1313,Gabon,36,19,17,22,13,9,5,4,1,4,1,8,7,1,0,0
Pierre-Emile Højbjerg,25,1995/08/05,Premier League,2018/2019,Midfielder,Southampton,2764,1416,1348,Denmark,31,16,15,4,2,2,3,2,1,0,0,4,1,3,10,2
Rachid Ghezzal,28,1992/05/09,Premier League,2018/2019,Forward,Leicester City,738,455,283,Algeria,19,12,7,1,1,0,0,0,0,0,0,3,2,1,3,0
Rafael Euclides Soares Camacho,20,2000/05/22,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,Portugal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,26,1994/12/08,Premier League,2018/2019,Forward,Manchester City,2777,1256,1521,England,34,16,18,17,12,5,10,6,4,0,0,18,7,11,3,0
Rajiv van La Parra,29,1991/06/04,Premier League,2018/2019,Midfielder,Huddersfield Town,407,168,239,Netherlands,5,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0
Ramadan Sobhi,24,1997/01/23,Premier League,2018/2019,Forward,Huddersfield Town,75,30,45,Egypt,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Alonso Jiménez Rodríguez,29,1991/05/05,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,Mexico,38,19,19,13,8,5,7,4,3,2,0,9,7,2,4,0
Rhys Healey,26,1994/12/06,Premier League,2018/2019,Forward,Cardiff City,49,17,32,England,3,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
Ricardo Domingos Barbosa Pereira,27,1993/10/06,Premier League,2018/2019,Defender,Leicester City,3125,1526,1599,Portugal,35,17,18,2,2,0,6,3,3,0,0,10,6,4,7,0
Richarlison de Andrade,23,1997/05/10,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,17,18,13,7,6,1,1,0,0,0,14,9,5,6,1
Riyad Mahrez,30,1991/02/21,Premier League,2018/2019,Midfielder,Manchester City,1339,647,692,Algeria,27,14,13,7,1,6,4,2,2,0,1,13,6,7,0,0
Rob Holding,25,1995/09/20,Premier League,2018/2019,Defender,Arsenal,807,501,306,England,10,6,4,0,0,0,0,0,0,0,0,2,2,0,1,0
Robbie Brady,29,1992/01/14,Premier League,2018/2019,Midfielder,Burnley,715,390,325,Republic of Ireland,16,9,7,0,0,0,1,0,1,0,0,2,1,1,4,1
Robert Kenedy Nunes do Nascimento,25,1996/02/08,Premier League,2018/2019,Midfielder,Newcastle United,1344,611,733,Brazil,25,13,12,1,0,1,1,1,0,0,1,8,3,5,1,0
Robert Snodgrass,33,1987/09/07,Premier League,2018/2019,Midfielder,West Ham United,2222,1108,1114,Scotland,33,16,17,2,1,1,5,4,1,0,0,6,3,3,10,0
Roberto Firmino,29,1991/10/02,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,18,12,7,5,6,3,3,1,0,18,9,9,0,0
Roberto Maximiliano Pereyra,30,1991/01/07,Premier League,2018/2019,Forward,Watford,2825,1467,1358,Argentina,33,17,16,6,5,1,1,0,1,0,0,5,3,2,3,0
Romain Saïss,31,1990/03/26,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,Morocco,19,8,11,2,1,1,0,0,0,0,0,4,3,1,7,0
Romelu Lukaku,27,1993/05/13,Premier League,2018/2019,Forward,Manchester United,2130,982,1148,Belgium,32,16,16,12,4,8,0,0,0,0,0,7,2,5,4,0
Rondon,31,1989/09/16,Premier League,2018/2019,Forward,Newcastle United,2609,1343,1266,Venezuela,32,16,16,11,6,5,7,5,2,0,0,10,5,5,1,0
Ross Barkley,27,1993/12/05,Premier League,2018/2019,Midfielder,Chelsea,1241,432,809,England,27,11,16,3,1,2,5,2,3,0,0,11,5,6,1,0
Rúben Diogo Da Silva Neves,24,1997/03/13,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,Portugal,35,17,18,4,3,1,3,2,1,2,0,8,6,2,8,0
Rúben Gonçalo Silva Nascimento Vinagre,22,1999/04/09,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,Portugal,17,12,5,0,0,0,0,0,0,0,0,5,4,1,1,0
Ruben Loftus-Cheek,25,1996/01/23,Premier League,2018/2019,Midfielder,Chelsea,983,507,476,England,24,12,12,6,3,3,2,2,0,0,0,12,9,3,0,0
